Coin Name,Ticker,X-Spot-Id,X-Post-Id,Conversation Id
Siacoin,SC-USD,sp_Rba9aFpG,finmb$SC$CCC,sp_Rba9aFpG_finmb$SC$CCC
Tellor Tributes,TRB-USD,sp_Rba9aFpG,finmb$TRB$CCC,sp_Rba9aFpG_finmb$TRB$CCC
Escoin,ELG-USD,sp_Rba9aFpG,finmb$ELG$CCC,sp_Rba9aFpG_finmb$ELG$CCC
Decred,DCR-USD,sp_Rba9aFpG,finmb$DCR$CCC,sp_Rba9aFpG_finmb$DCR$CCC
Echelon Prime,PRIME-USD,sp_Rba9aFpG,finmb$PRIME$CCC,sp_Rba9aFpG_finmb$PRIME$CCC
DeFiChain,DFI-USD,sp_Rba9aFpG,finmb$DFI$CCC,sp_Rba9aFpG_finmb$DFI$CCC
Ethereum Name Service,ENS-USD,sp_Rba9aFpG,finmb$ENS$CCC,sp_Rba9aFpG_finmb$ENS$CCC
aelf,ELF-USD,sp_Rba9aFpG,finmb$ELF$CCC,sp_Rba9aFpG_finmb$ELF$CCC
IoTeX,IOTX-USD,sp_Rba9aFpG,finmb$IOTX$CCC,sp_Rba9aFpG_finmb$IOTX$CCC
Kusama,KSM-USD,sp_Rba9aFpG,finmb$KSM$CCC,sp_Rba9aFpG_finmb$KSM$CCC
Liquity USD,LUSD-USD,sp_Rba9aFpG,finmb$LUSD$CCC,sp_Rba9aFpG_finmb$LUSD$CCC
Aragon,ANT-USD,sp_Rba9aFpG,finmb$ANT$CCC,sp_Rba9aFpG_finmb$ANT$CCC
Audius,AUDIO-USD,sp_Rba9aFpG,finmb$AUDIO$CCC,sp_Rba9aFpG_finmb$AUDIO$CCC
Sushi,SUSHI-USD,sp_Rba9aFpG,finmb$SUSHI$CCC,sp_Rba9aFpG_finmb$SUSHI$CCC
WAX,WAXP-USD,sp_Rba9aFpG,finmb$WAXP$CCC,sp_Rba9aFpG_finmb$WAXP$CCC
SwissBorg,BORG-USD,sp_Rba9aFpG,finmb$BORG$CCC,sp_Rba9aFpG_finmb$BORG$CCC
Waves,WAVES-USD,sp_Rba9aFpG,finmb$WAVES$CCC,sp_Rba9aFpG_finmb$WAVES$CCC
Ocean Protocol,OCEAN-USD,sp_Rba9aFpG,finmb$OCEAN$CCC,sp_Rba9aFpG_finmb$OCEAN$CCC
FINSCHIA,FNSA-USD,sp_Rba9aFpG,finmb$FNSA$CCC,sp_Rba9aFpG_finmb$FNSA$CCC
Ravencoin,RVN-USD,sp_Rba9aFpG,finmb$RVN$CCC,sp_Rba9aFpG_finmb$RVN$CCC
Memecoin,MEME-USD,sp_Rba9aFpG,finmb$MEME$CCC,sp_Rba9aFpG_finmb$MEME$CCC
SXP,SXP-USD,sp_Rba9aFpG,finmb$SXP$CCC,sp_Rba9aFpG_finmb$SXP$CCC
Livepeer,LPT-USD,sp_Rba9aFpG,finmb$LPT$CCC,sp_Rba9aFpG_finmb$LPT$CCC
Moonbeam,GLMR-USD,sp_Rba9aFpG,finmb$GLMR$CCC,sp_Rba9aFpG_finmb$GLMR$CCC
Telcoin,TEL-USD,sp_Rba9aFpG,finmb$TEL$CCC,sp_Rba9aFpG_finmb$TEL$CCC
Band Protocol,BAND-USD,sp_Rba9aFpG,finmb$BAND$CCC,sp_Rba9aFpG_finmb$BAND$CCC
DeXe,DEXE-USD,sp_Rba9aFpG,finmb$DEXE$CCC,sp_Rba9aFpG_finmb$DEXE$CCC
Olympus,OHM-USD,sp_Rba9aFpG,finmb$OHM$CCC,sp_Rba9aFpG_finmb$OHM$CCC
